path	baseline_blob	batch	status	evidence	kind
.dockerignore	01cbf8f87830cc0aa5921ca6feb5b9d9c4417541	B16	unreviewed		unclassified
.env.example	9a6dd57063b7f6d43ffafa037b366c24f63797c8	B16	unreviewed		unclassified
.github/dependabot.yml	8fb43572b9c99bfd98b8e0dd559759d542ccfd9b	B12	unreviewed		configuration
.github/workflows/ci.yml	c2c22fe756aa8f13d016637293e7882f2b78342c	B12	unreviewed		configuration
.github/workflows/codeql.yml	acaea04950eb107f30c529a68efbf862a7552003	B12	unreviewed		configuration
.github/workflows/pages.yml	9c8782a13c12361da7ac329104d49e1f1ef89b7b	B12	unreviewed		configuration
.github/workflows/release.yml	c5de917cf456af7165d22c656c2c178086dcf43f	B12	unreviewed		configuration
.gitignore	3186727500229d2f33fe632b7afbee624dfe6fbe	B16	unreviewed		unclassified
CHANGELOG.md	2fd8323b8e33aa7be417473becce63dbfb29516f	B16	unreviewed		documentation
CONTRIBUTING.md	1ee8067e1c71a35d9cf8b81ceb82cfdf8b9a344d	B16	unreviewed		documentation
LICENSE	f965db4dd41aaa818b3b79491071e16382898e18	B16	unreviewed		unclassified
README.md	e3ea4922ae95b246f2dc1d140ec9c896affeaced	B16	unreviewed		documentation
THIRD_PARTY_NOTICES.md	eb0773a62cc4c0439f7ae40b65797e837798ef57	B16	unreviewed		documentation
android-tv/app/build.gradle.kts	77b69db0d18a7929941c008056c4d59999bc489f	B06	unreviewed		source
android-tv/app/proguard-rules.pro	61369b3f8927c3b1261b3743eb3b855d66c3afc7	B06	unreviewed		unclassified
android-tv/app/src/androidTest/kotlin/org/lessoncue/tv/TvScreenTest.kt	6af98c7b8e33fafd9805f29a6ca2f6a2868ca8af	B06	unreviewed		source
android-tv/app/src/androidTest/kotlin/org/lessoncue/tv/UpdateManagerIntegrationTest.kt	fd84fe4db8c78d9ba7260d10e166f3ba053360a8	B06	partial	BUG-014..020 focused review and regression evidence in checkpoint; remaining paths unreviewed	source
android-tv/app/src/androidTest/kotlin/org/lessoncue/tv/UpdateScreenTest.kt	119edd7409e8175af18c6060fbb55b937ac4c843	B06	unreviewed		source
android-tv/app/src/main/AndroidManifest.xml	0a31e6e7e06b8bd7cbf63436a8ddfd00efbd9e07	B06	unreviewed		configuration
android-tv/app/src/main/kotlin/org/lessoncue/tv/ApkVerifier.kt	6856790c56f6b15aef89abe7701ead0e22ab041d	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/IdentityStore.kt	6534bec95959baac02fdb4722349255c74b10140	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/LessonCueApi.kt	72f658b7eccfdf3862ba09a276b06f5d70cd0565	B01	partial	BUG-002/009 fixed; connection failure and offline manifest cache tests passed	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/LessonCueDiscovery.kt	e645d9dfac21b9761cf938d191665eed2cd849d4	B01	partial	BUG-003 queue integration/handler lifecycle reviewed; 4 coordinator tests; native NSD unverified	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/LessonCueTvTheme.kt	5fd5caf3213db2c97042d6e197a7bee2656e667a	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/MainActivity.kt	75873be85d729b103086f73d0eb53bf50831cbd9	B01	partial	BUG-021 through BUG-025 command/heartbeat/capture lifecycle; validation in checkpoint; other paths unreviewed	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/MediaCacheWorker.kt	f342dc29b0bd3754ff5a12c715a702efdf7c9f5f	B06	partial	BUG-004/005 fixes; pure download fault tests; WorkManager lifecycle/redirects still partial	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/Models.kt	6e70a6b83f55113798641cea6fd6aa98f3f366c0	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/PlaybackOverlay.kt	76cdb958b4202a2aeefcce1eaf25937274852eb7	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/PlaybackRemoteKeys.kt	b88aa39d3850d54689584c946327fdacadb758d1	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/PlaybackRouting.kt	ce54d9b6283a285ad311df0bc88c248a5adce94f	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/ServerUrlPolicy.kt	c07e672327ebdd4b3f0b47fde2a4113679305ff3	B01	verified	BUG-001 reproduced/fixed; 45 sideload + 45 store unit tests passed 2026-09-14; checkpoint has evidence	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/TvComponents.kt	538707cf7df314ebd07c2e8de6e69cacb8fa7a62	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/TvUiModels.kt	64c65595b3b006c719e0216452fbb503d5f05a78	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/UpdateClient.kt	104bae61e0c6c3b8b387277a9b389c61f2982c93	B06	partial	BUG-006 fixed; injected connection regressions; both Android variants passed	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/UpdateInstaller.kt	2702d3a86dce811fa5fe1be9c830a5bfef60c288	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/UpdateManager.kt	a7b21a5013229ce7ccb80f91d2a8dbea5503aa30	B06	partial	BUG-014..020 focused review and regression evidence in checkpoint; remaining paths unreviewed	source
android-tv/app/src/main/kotlin/org/lessoncue/tv/UpdateModels.kt	8c8066b61935ee13fdb7b2e2a23a9a839aa84c40	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/UpdateScreen.kt	2cfb625ef2884664c1a133d5b1ceac6b83c706dd	B06	unreviewed		source
android-tv/app/src/main/kotlin/org/lessoncue/tv/UpdateStore.kt	9930ab453c0a67287164460bab7835a397d9b90c	B06	unreviewed		source
android-tv/app/src/main/res/drawable-hdpi/tv_banner.png	af9fd65c972e4b888475af4247c5c8218648cd1c	B06	unreviewed		asset
android-tv/app/src/main/res/drawable-mdpi/tv_banner.png	f207e161b2985e977217ed7d2b11fd03a1780aff	B06	unreviewed		asset
android-tv/app/src/main/res/drawable-nodpi/ic_launcher_foreground.png	48ac2f6e848eab60a6d17929f99e229f559ddc06	B06	unreviewed		asset
android-tv/app/src/main/res/drawable-xhdpi/tv_banner.png	997cd6581196eaa30ee311d61f9ab823c8588384	B06	unreviewed		asset
android-tv/app/src/main/res/drawable-xxhdpi/tv_banner.png	4397cac11a01ab6c82d0703339a77f5802fcc76b	B06	unreviewed		asset
android-tv/app/src/main/res/drawable-xxxhdpi/tv_banner.png	ef36983cb14904330ad916ce62c90102926635ea	B06	unreviewed		asset
android-tv/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml	5803562112f247eb6a52ae54f6c927b3fd54f53d	B06	unreviewed		configuration
android-tv/app/src/main/res/mipmap-hdpi/ic_launcher.png	540dc083e68a4fa03987bcf206d6d9434e27024f	B06	unreviewed		asset
android-tv/app/src/main/res/mipmap-mdpi/ic_launcher.png	511229a231534838b501f25d6c321b9cc0fb60dc	B06	unreviewed		asset
android-tv/app/src/main/res/mipmap-xhdpi/ic_launcher.png	c7e8efe1eafa6c2dc64be127ccc6d271a6bfc990	B06	unreviewed		asset
android-tv/app/src/main/res/mipmap-xxhdpi/ic_launcher.png	719f05f569760e83390fcccdc7053e3340ccf09d	B06	unreviewed		asset
android-tv/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png	8a7d1bcfbff59f81de18e72a0e0a2416767acad3	B06	unreviewed		asset
android-tv/app/src/main/res/values/colors.xml	266e918af39e77d64f4926b6e3a20f0d156bafd3	B06	unreviewed		configuration
android-tv/app/src/main/res/values/strings.xml	744b183714fb4a4682481c6fa6d166b1e1c4dbca	B06	unreviewed		configuration
